Thana Name,District,Location,Crime Type,Date,Time
Shalamar Town,Lahore,"31.60063040529666,74.31690154032313",motorcycletheft,13/01/15,21:00:00
Shalamar Town,Lahore,"31.602643858500297,74.31986910702793",motorcycletheft,14/01/15,23:15:00
Shalamar Town,Lahore,"31.602421447884396,74.32245970310467",antinorcoticsact,15/01/15,23:55:00
Shalamar Town,Lahore,"31.599596804281347,74.31779032065775",telephoneact,16/01/15,13:00:00
Shalamar Town,Lahore,"31.60509387181064,74.32600801472944",loudspeakeract,16/01/15,13:05:00
Shalamar Town,Lahore,"31.600196352355606,74.32597726938857",loudspeakeract,16/01/15,13:25:00
Shalamar Town,Lahore,"31.603189641601357,74.31628641868234",motorcycletheft,16/01/15,23:50:00
Shalamar Town,Lahore,"31.603456635137455,74.31908369805356",armsordinanceact,18/01/15,20:40:00
Wagha Town,Lahore,"31.58484338217055,74.38545718227489",pricecontrol,01/01/15,13:30:00
Wagha Town,Lahore,"31.595549179948875,74.40704493556083",robbery,01/01/15,2:30:00
Wagha Town,Lahore,"31.603522915793327,74.39947512490562",narcotics,01/01/15,23:50:00
Wagha Town,Lahore,"31.6035138473609,74.3994199426013",armsordinanceact,02/01/15,0:05:00
Wagha Town,Lahore,"31.585324189290805,74.38630404583351",pricecontrol,02/01/15,15:30:00
Wagha Town,Lahore,"31.586217314658555,74.38627643181864",pricecontrol,02/01/15,15:45:00
Wagha Town,Lahore,"31.581897840128086,74.38448785321113",pricecontrol,03/01/15,12:30:00
Wagha Town,Lahore,"31.591920028575487,74.38145550079463",robbery,03/01/15,14:45:00
Wagha Town,Lahore,"31.5850032144536,74.38644759731618",pricecontrol,03/01/15,13:30:00
Wagha Town,Lahore,"31.582500260469125,74.39472228032469",pricecontrol,03/01/15,12:30:00
Wagha Town,Lahore,"31.582475733001814,74.39471421582988",othercrimes,02/01/15,13:50:00
Wagha Town,Lahore,"31.582623348649793,74.39548694196932",miscellaneous,04/01/15,14:00:00
Wagha Town,Lahore,"31.59294754839142,74.39254385207161",gambling,04/01/15,20:00:00
Wagha Town,Lahore,"31.596656551851275,74.3988249076699",miscellaneous,04/01/15,23:50:00
Wagha Town,Lahore,"31.5966633982615,74.39885701334426",armsordinanceact,05/01/15,0:05:00
Wagha Town,Lahore,"31.603429306618757,74.39945621851099",armsordinanceact,03/01/15,17:10:00
Wagha Town,Lahore,"31.60349430817018,74.39944490768139",armsordinanceact,03/01/15,17:30:00
Wagha Town,Lahore,"31.5842932120449,74.40776737653096",bulgery,02/01/15,2:00:00
Wagha Town,Lahore,"31.586660151841194,74.39993883569856",pricecontrol,03/01/15,13:00:00
Wagha Town,Lahore,"31.585558855222235,74.40303626085435",bulgery,04/01/15,2:30:00
Wagha Town,Lahore,"31.595390973454368,74.41442817659501",miscellaneous,03/01/15,14:30:00
Wagha Town,Lahore,"31.584272198416684,74.38450415645197",miscellaneous,01/01/15,14:30:00
Wagha Town,Lahore,"31.58422209060945,74.38411514768173",miscellaneous,01/01/15,14:00:00
Wagha Town,Lahore,"31.610241779343983,74.39284652036694",robbery,06/01/15,13:15:00
Wagha Town,Lahore,"31.58684600541477,74.41474183391577",bulgery,01/01/15,3:00:00
Wagha Town,Lahore,"31.584430379702848,74.38428192872988",othervehicletheft,04/01/15,0:25:00
Wagha Town,Lahore,"31.59837081041864,74.42272030813686",robbery,07/01/15,4:00:00
Wagha Town,Lahore,"31.58594758352505,74.40851361895322",robbery,07/01/15,23:00:00
Wagha Town,Lahore,"31.5927612501607,74.39856657480331",bulgery,06/01/15,6:00:00
Wagha Town,Lahore,"31.587774979825284,74.38746202019637",robbery,08/01/15,12:10:00
Wagha Town,Lahore,"31.604033125595738,74.39979924516526",armsordinanceact,09/01/15,17:00:00
Wagha Town,Lahore,"31.603982963709395,74.39977903017275",armsordinanceact,09/01/15,17:10:00
Wagha Town,Lahore,"31.60847735332221,74.40030100453028",othercrimes,05/01/15,5:30:00
Wagha Town,Lahore,"31.597495420178507,74.40079717312784",loudspeakeract,09/01/15,13:45:00
Wagha Town,Lahore,"31.588740785029845,74.41859792715333",armsordinanceact,09/01/15,17:15:00
Wagha Town,Lahore,"31.585518495700406,74.38974941554028",robbery,09/01/15,16:15:00
Wagha Town,Lahore,"31.587393910428926,74.39434646645269",localgovernment,11/01/15,12:05:00
Wagha Town,Lahore,"31.587700723045504,74.39425915732731",localgovernment,11/01/15,12:05:00
Wagha Town,Lahore,"31.588244823888033,74.40333647128148",localgovernment,11/01/15,12:00:00
Wagha Town,Lahore,"31.589134416160043,74.40319025639481",loudspeakeract,10/01/15,18:00:00
Wagha Town,Lahore,"31.597480114059714,74.42327756027674",armsordinanceact,12/01/15,0:40:00
Wagha Town,Lahore,"31.597446346712875,74.42326334712827",miscellaneous,12/01/15,0:25:00
Wagha Town,Lahore,"31.585751782330544,74.3907824141753",bulgery,06/01/15,13:00:00
Wagha Town,Lahore,"31.586976846972007,74.40315484621128",hurtpersonalfeud,07/01/15,14:00:00
Wagha Town,Lahore,"31.591392571665917,74.40341181044387",othervehicletheft,09/01/15,18:00:00
Wagha Town,Lahore,"31.594338111351757,74.4026988615982",localgovernment,11/01/15,0:40:00
Wagha Town,Lahore,"31.603621763887425,74.40025557309635",antinorcoticsact,14/01/15,22:15:00
Wagha Town,Lahore,"31.60347607793901,74.39995451334096",attemptedmurder,11/01/15,17:45:00
Wagha Town,Lahore,"31.597899137173567,74.410664465675",antinorcoticsact,13/01/15,21:35:00
Wagha Town,Lahore,"31.597725979350137,74.41071353699313",gangrape,09/01/15,18:00:00
Wagha Town,Lahore,"31.587513584161897,74.40918644341694",bulgery,11/01/15,18:00:00
Wagha Town,Lahore,"31.587372016323517,74.40914218511713",bulgery,10/01/15,5:00:00
Wagha Town,Lahore,"31.594602841752316,74.40415629001572",loudspeakeract,11/01/15,10:15:00
Data Gunj Baksh,Lahore,"31.57858445591157,74.30840278340646",miscellaneous,02/01/15,13:25:00
Data Gunj Baksh,Lahore,"31.57911996928523,74.30890389587977",miscellaneous,03/01/15,11:00:00
